alcohol_smiles,sulfonyl_fluoride_smiles,base_smiles,product_smiles,product_yield
c1ccccc1CCC(O)C,Clc1ccc(S(=O)(=O)F)cc1,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1CCC(F)C,40
c1ccccc1CCC(O)C,Clc1ccc(S(=O)(=O)F)cc1,CN1CCCN2C1=NCCC2,c1ccccc1CCC(F)C,54
c1ccccc1CCC(O)C,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1CCC(F)C,41
c1ccccc1CCC(O)C,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1CCC(F)C,42
c1ccccc1CCC(O)C,O=S(C1=CC=CC=N1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1CCC(F)C,57
c1ccccc1CCC(O)C,O=S(C1=CC=CC=N1)(F)=O,CN1CCCN2C1=NCCC2,c1ccccc1CCC(F)C,59
c1ccccc1CCC(O)C,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1CCC(F)C,49
c1ccccc1CCC(O)C,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1CCC(F)C,53
c1ccccc1CCC(O)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1CCC(F)C,52
c1ccccc1CCC(O)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CN1CCCN2C1=NCCC2,c1ccccc1CCC(F)C,69
c1ccccc1CCC(O)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1CCC(F)C,57
c1ccccc1CCC(O)C,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1CCC(F)C,60
c1ccccc1CCC(O)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1CCC(F)C,54
c1ccccc1CCC(O)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CN1CCCN2C1=NCCC2,c1ccccc1CCC(F)C,63
c1ccccc1CCC(O)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1CCC(F)C,55
c1ccccc1CCC(O)C,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1CCC(F)C,51
c1ccccc1CCC(O)C,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1CCC(F)C,39
c1ccccc1CCC(O)C,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CN1CCCN2C1=NCCC2,c1ccccc1CCC(F)C,60
c1ccccc1CCC(O)C,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1CCC(F)C,61
c1ccccc1CCC(O)C,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1CCC(F)C,65
c1ccccc1-c2ccc(CO)cc2,Clc1ccc(S(=O)(=O)F)cc1,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1-c2ccc(CF)cc2,11
c1ccccc1-c2ccc(CO)cc2,Clc1ccc(S(=O)(=O)F)cc1,CN1CCCN2C1=NCCC2,c1ccccc1-c2ccc(CF)cc2,36
c1ccccc1-c2ccc(CO)cc2,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1-c2ccc(CF)cc2,83
c1ccccc1-c2ccc(CO)cc2,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1-c2ccc(CF)cc2,92
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=CC=N1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1-c2ccc(CF)cc2,12
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=CC=N1)(F)=O,CN1CCCN2C1=NCCC2,c1ccccc1-c2ccc(CF)cc2,26
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1-c2ccc(CF)cc2,57
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1-c2ccc(CF)cc2,77
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1-c2ccc(CF)cc2,17
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CN1CCCN2C1=NCCC2,c1ccccc1-c2ccc(CF)cc2,36
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1-c2ccc(CF)cc2,83
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1-c2ccc(CF)cc2,99
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1-c2ccc(CF)cc2,21
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CN1CCCN2C1=NCCC2,c1ccccc1-c2ccc(CF)cc2,41
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1-c2ccc(CF)cc2,83
c1ccccc1-c2ccc(CO)cc2,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1-c2ccc(CF)cc2,91
c1ccccc1-c2ccc(CO)cc2,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,N\2=C1\N(CCCCC1)CCC/2,c1ccccc1-c2ccc(CF)cc2,23
c1ccccc1-c2ccc(CO)cc2,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CN1CCCN2C1=NCCC2,c1ccccc1-c2ccc(CF)cc2,37
c1ccccc1-c2ccc(CO)cc2,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=C(N(C)C)N(C)C,c1ccccc1-c2ccc(CF)cc2,48
c1ccccc1-c2ccc(CO)cc2,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,c1ccccc1-c2ccc(CF)cc2,68
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,Clc1ccc(S(=O)(=O)F)cc1,N\2=C1\N(CCCCC1)CCC/2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,Clc1ccc(S(=O)(=O)F)cc1,CN1CCCN2C1=NCCC2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=C(N(C)C)N(C)C,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,3
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=CC=N1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=CC=N1)(F)=O,CN1CCCN2C1=NCCC2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,2
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,1
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,3
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CN1CCCN2C1=NCCC2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,4
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,5
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,12
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,11
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CN1CCCN2C1=NCCC2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,12
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,12
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,22
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,N\2=C1\N(CCCCC1)CCC/2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,83
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CN1CCCN2C1=NCCC2,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,79
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=C(N(C)C)N(C)C,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,89
O[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@@H]1C[C@H](OCC2=CC=CC=C2)C1,82
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,Clc1ccc(S(=O)(=O)F)cc1,N\2=C1\N(CCCCC1)CCC/2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,25
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,Clc1ccc(S(=O)(=O)F)cc1,CN1CCCN2C1=NCCC2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,30
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=C(N(C)C)N(C)C,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,29
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,Clc1ccc(S(=O)(=O)F)cc1,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,30
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=CC=N1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,45
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=CC=N1)(F)=O,CN1CCCN2C1=NCCC2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,40
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,39
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=CC=N1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,33
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,41
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CN1CCCN2C1=NCCC2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,47
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,39
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=C(C(F)(F)F)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,33
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,N\2=C1\N(CCCCC1)CCC/2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,48
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CN1CCCN2C1=NCCC2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,48
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=C(N(C)C)N(C)C,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,40
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,O=S(C1=CC=C([N+]([O-])=O)C=C1)(F)=O,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,32
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,N\2=C1\N(CCCCC1)CCC/2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,59
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CN1CCCN2C1=NCCC2,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,74
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=C(N(C)C)N(C)C,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,64
O[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3,F[C@H]1C[C@@H](C(OC)=O)N(C(OC(C)(C)C)=O)C1,58